admin_name,admin_level,feature_id,mean,median,count,sum
RWA.1.5.3.2_1,cell_id,350,0.3026635,0.0,80,24.213081
RWA.1.5.3.3_1,cell_id,351,0.34299538,0.0,63,21.60871
RWA.1.5.3.4_1,cell_id,352,0.17817724,0.0,90,16.035952
RWA.1.5.3.5_1,cell_id,353,0.31244186,0.0,90,28.119766
RWA.1.5.4.1_1,cell_id,354,0.0,0.0,80,0.0
RWA.1.5.4.2_1,cell_id,355,0.0,0.0,54,0.0
RWA.1.5.4.3_1,cell_id,356,0.0,0.0,110,0.0
RWA.1.5.4.4_1,cell_id,357,0.0,0.0,99,0.0
RWA.1.5.4.5_1,cell_id,358,0.0,0.0,104,0.0
RWA.1.5.4.6_1,cell_id,359,0.0,0.0,100,0.0
RWA.1.5.4.7_1,cell_id,360,0.0,0.0,72,0.0
RWA.1.5.5.1_1,cell_id,361,0.02964396,0.0,110,3.2608356
RWA.1.5.5.2_1,cell_id,362,0.0,0.0,135,0.0
RWA.1.5.5.3_1,cell_id,363,0.0,0.0,98,0.0
RWA.1.5.6.1_1,cell_id,364,0.35676113,0.0,40,14.270445
RWA.1.5.6.2_1,cell_id,365,0.043902934,0.0,99,4.3463902
RWA.1.5.6.3_1,cell_id,366,0.5115183,0.4593275,63,32.225655
RWA.1.5.7.1_1,cell_id,367,0.23709583,0.0,56,13.277367
RWA.1.5.7.2_1,cell_id,368,0.11676454,0.0,77,8.9908695
RWA.1.5.7.3_1,cell_id,369,0.09357032,0.0,77,7.204915
RWA.1.5.7.4_1,cell_id,370,0.04905007,0.0,126,6.180309
RWA.1.5.8.1_1,cell_id,371,0.0055259406,0.0,99,0.5470681
RWA.1.5.8.2_1,cell_id,372,0.27275395,0.0,100,27.275394
RWA.1.5.8.3_1,cell_id,373,0.0,0.0,81,0.0
RWA.1.5.8.4_1,cell_id,374,0.13982743,0.0,112,15.660672
RWA.1.5.8.5_1,cell_id,375,0.21630189,0.0,99,21.413887
